,Expected Energy of Entire Decay (keV/atom of parent isotope),Isotope
169Pt,21135.9705766174,169Pt
169Re,485.56466576,169Re
169Ta,485.56,169Ta
169Tb,3008.9,169Tb
169W,485.56,169W
16C,4842.93,16C
16N,2756.83,16N
170Au,20284.4545377239,170Au
170Dy,1109.94,170Dy
170Gd,4398.31,170Gd
170Ho,656.88,170Ho
170Ir,3684.477003024613,170Ir
170Lu,3.1,170Lu
170Os,3713.8607206416114,170Os
170Pt,13190.121421753276,170Pt
170Re,3705.53,170Re
170Ta,1421.45,170Ta
170Tb,2484.31,170Tb
170Tm,316.84438939999995,170Tm
170W,1421.45,170W
171Au,13190.121421753276,171Au
171Dy,1834.97,171Dy
171Er,382.55,171Er
171Hf,0.0111,171Hf
171Ho,1285.52,171Ho
171Lu,0.0111,171Lu
171Os,3108.019838990705,171Os
171Pt,7740.966668224595,171Pt
171Re,1206.8311,171Re
171Ta,0.0111,171Ta
171Tb,3428.9700000000003,171Tb
171Tm,23.76,171Tm
171W,0.0111,171W
172Au,13460.638317362784,172Au
172Er,593.22,172Er
172Hg,25270.714700170545,172Hg
172Ho,1846.4,172Ho
172Ir,407.0490146505754,172Ir
172Lu,0.118,172Lu
172Os,317.978787328832,172Os
172Pt,4540.482860425662,172Pt
172Re,314.6,172Re
172Ta,314.6,172Ta
172Tb,1511.0,172Tb
172Tm,491.3,172Tm
172W,314.6,172W
173Au,7345.220399804755,173Au
173Dy,2120.03,173Dy
173Er,914.0,173Er
173Hf,0.0221,173Hf
173Hg,28338.970576617405,173Hg
173Ho,1366.09,173Ho
173Ir,130.1597009912,173Ir
173Os,87.09653159999999,173Os
173Pt,5062.554286104055,173Pt
173Re,85.4921,173Re
173Ta,51.8921,173Ta
173Tm,294.3,173Tm
173W,85.4921,173W
174Au,0.0,174Au
174Er,973.95,174Er
174Hf,0.0,174Hf
174Hg,20154.97773606626,174Hg
174Ho,1523.0,174Ho
174Ir,18.6516,174Ir
174Lu,0.0408,174Lu
174Os,0.2844804,174Os
174Pt,6251.236131687625,174Pt
174Re,269.75,174Re
174Ta,269.75,174Ta
174Tm,389.6,174Tm
174W,269.75,174W
175Er,1498.5800000000002,175Er
175Hg,14554.146668224595,175Hg
175Ho,2148.4,175Ho
175Ir,12.15478435,175Ir
175Os,1.52,175Os
175Pt,4420.727619320052,175Pt
175Re,1.52,175Re
175Ta,1.52,175Ta
175Tm,366.93,175Tm
175W,1.52,175W
175Yb,112.73,175Yb
176Hg,10233.23748880012,176Hg
176Ir,809.6108800000002,176Ir
176Lu,181.81,176Lu
176Os,821.19,176Os
176Pt,1533.3460429315328,176Pt
176Re,821.19,176Re
176Ta,7.43,176Ta
176Tl,14554.146668224595,176Tl
176Tm,709.2,176Tm
177Au,66.34687672722801,177Au
177Hg,11641.554286104054,177Hg
177Ir,1.00852766,177Ir
177Lu,133.64,177Lu
177Os,0.956,177Os
177Pt,23.804993884580004,177Pt
177Re,0.956,177Re
177Ta,0.0,177Ta
177Tl,11805.725313833504,177Tl
177Tm,1729.19,177Tm
177W,0.956,177W
177Yb,556.86,177Yb
178Au,427.02254099448,178Au
178Hg,4503.972054479681,178Hg
178Ir,437.06,178Ir
178Lu,736.51,178Lu
178Os,437.06,178Os
178Pt,422.6898349908,178Pt
178Re,437.06,178Re
178Ta,5.13,178Ta
178Yb,927.82,178Yb
179Au,975.554773837,179Au
179Hg,4702.477338852679,179Hg
179Ir,5.4,179Ir
179Lu,486.9,179Lu
179Os,5.4,179Os
179Pt,1247.2829759999995,179Pt
179Re,5.4,179Re
179Tl,6567.0,179Tl
179W,0.0,179W
179Yb,1093.61,179Yb
17B,13385.08,17B
17C,5386.26,17C
17F,738.59,17F
17N,1720.12,17N
17Ne,4386.75,17Ne
180Au,1271.9926875196,180Au
180Hg,2807.192698117328,180Hg
180Ir,1281.8074,180Ir
180Lu,561.49,180Lu
180Os,87.01740000000001,180Os
180Pb,10233.237488800123,180Pb
180Pt,1280.4681177999998,180Pt
180Re,86.95,180Re
180Ta,4.752,180Ta
180Tl,5442.226536230288,180Tl
180W,0.0,180W
180Yb,1107.87,180Yb
181Au,12.76913753522,181Au
181Hf,121.02,181Hf
181Hg,412.1277187495472,181Hg
181Ir,8.93713,181Ir
181Lu,860.8299999999999,181Lu
181Os,8.93713,181Os
181Pb,18822.874286104052,181Pb
181Pt,8.9408708,181Pt
181Re,0.00713,181Re
181Tl,59.80868767272281,181Tl
182Au,552.21598055298,182Au
182Hf,160.65,182Hf
182Hg,1056.7469724653993,182Hg
182Ir,514.78,182Ir
182Lu,870.1999999999999,182Lu
182Pb,4434.926201894156,182Pb
182Pt,552.3568054000001,182Pt
182Re,0.0506,182Re
182Ta,127.75,182Ta
182Tl,1051.679425203488,182Tl
183Au,910.058904297616,183Au
183Hf,677.74,183Hf
183Hg,1030.3927106867948,183Hg
183Ir,76.48899999999999,183Ir
183Lu,1874.63,183Lu
183Os,0.669,183Os
183Pb,9677.643604967412,183Pb
183Pt,76.489561888,183Pt
183Ta,187.84,183Ta
183Tl,0.0,183Tl
184Au,135.041960077,184Au
184Bi,5442.226536230288,184Bi
184Hf,719.03,184Hf
184Hg,349.85089942772527,184Hg
184Ir,134.3,184Ir
184Lu,2763.9300000000003,184Lu
184Pb,2320.134093889393,184Pb
184Pt,134.836870893,184Pt
184Re,0.0,184Re
184Ta,414.85,184Ta
184Tl,371.89967697765474,184Tl
185Au,0.0575565379999999,185Au
185Bi,2094.101553267726,185Bi
185Hf,1778.74,185Hf
185Hg,20.92935539372,185Hg
185Ir,0.0,185Ir
185Pb,882.3876243748462,185Pb
185Pt,0.0,185Pt
185Ta,765.41,185Ta
185W,126.88,185W
186Au,1029.2741185376,186Au
186Bi,9820.69942520349,186Bi
186Hf,1790.3000000000002,186Hf
186Hg,1099.2765973674975,186Hg
186Ir,39.67,186Ir
186Os,0.0,186Os
186Pb,2093.8846398539586,186Pb
186Pt,39.67,186Pt
186Re,296.99354100000005,186Re
186Ta,1056.97,186Ta
186Tl,1099.309751446331,186Tl
187Au,113.7491989,187Au
187Bi,7065.34,187Bi
187Hg,113.749484146179,187Hg
187Ir,0.0769,187Ir
187Pb,241.7291216600543,187Pb
187Po,17283.72360496741,187Po
187Pt,47.4469,187Pt
187Re,0.61818784,187Re
187Tl,114.02250181746824,187Tl
187W,245.86818784,187W
188Au,2.64999931125168,188Au
188Bi,7220.759676977655,188Bi
188Hg,9.490045690200963,188Hg
188Ir,2.65,188Ir
188Pb,85.72916825789055,188Pb
188Po,10119.534093889391,188Po
188Pt,2.64999931125168,188Pt
188Re,764.19,188Re
188Ta,2548.48,188Ta
188Tl,9.490045690200963,188Tl
188W,863.1500000000001,188W
189Au,1.83,189Au
189Bi,5173.75,189Bi
189Hg,1.83,189Hg
189Pb,2.00539742157488,189Pb
189Po,8169.2276243748465,189Po
189Pt,1.83,189Pt
189Re,310.61,189Re
189Tl,1.83,189Tl
189W,1097.28,189W
18C,7032.28,18C
18F,241.63,18F
18N,3476.18,18N
18Ne,1740.79,18Ne
190Au,3262.1500003967003,190Au
190Bi,5497.73914699359,190Bi
190Hg,3262.150000531578,190Hg
190Ir,0.0,190Ir
190Pb,4347.713706918921,190Pb
190Po,9611.63463985396,190Po
190Pt,3175.0,190Pt
190Re,632.77,190Re
190Tl,4216.8200005315775,190Tl
190W,942.77,190W
191At,14617.34,191At
191Au,0.962,191Au
191Bi,1701.6184655946488,191Bi
191Hg,0.962,191Hg
191Os,37.5,191Os
191Pb,0.0148768729390032,191Pb
191Po,7398.803730443454,191Po
191Re,764.4776,191Re
192At,14621.289676977653,192At
192Au,59.81,192Au
192Bi,115.56851578823634,192Bi
192Ir,162.06038399999997,192Ir
192Pb,30.77876171069573,192Pb
192Po,7209.003764995542,192Po
192Re,0.0,192Re
192Ta,0.0,192Ta
192Tl,0.0,192Tl
193At,12408.75,193At
193Au,0.0,193Au
193Bi,4.6151,193Bi
193Hg,4.6,193Hg
193Os,354.14,193Os
193Po,6946.305397421575,193Po
193Rn,15903.627624374843,193Rn
193Tl,4.6,193Tl
194At,5497.739146993589,194At
194Au,10.73,194Au
194Bi,606.3352362911095,194Bi
194Ir,800.67,194Ir
194Os,817.0799999999999,194Os
194Pb,589.5302413991001,194Pb
194Po,10000.022013974976,194Po
194Rn,17311.63463985396,194Rn
194Tl,586.46000326215,194Tl
195At,8654.618465594649,195At
195Bi,9.016783299999998,195Bi
195Hg,0.159,195Hg
195Ir,326.15,195Ir
195Pb,9.019,195Pb
195Po,6777.6635912585625,195Po
195Rn,14915.963730443456,195Rn
195Tl,9.019,195Tl
196At,6708.428187052657,196At
196Au,0.3689,196Au
196Bi,1295.9800007107,196Bi
196Ir,1157.67,196Ir
196Os,1733.25,196Os
196Pb,152.1,196Pb
196Po,6064.070786490696,196Po
196Rn,14645.452738142782,196Rn
196Tl,151.04,196Tl
197At,6480.498556800464,197At
197Bi,42.7300046,197Bi
197Ir,913.45,197Ir
197Pb,42.73,197Pb
197Po,1239.930402576,197Po
197Pt,195.12,197Pt
197Rn,14206.305397421576,197Rn
197Tl,4.78,197Tl
198At,6694.672136421747,198At
198Au,312.5,198Au
198Bi,6.13,198Bi
198Ir,0.0,198Ir
198Pb,6.13,198Pb
198Po,2347.194237597487,198Po
198Tl,6.13,198Tl
199At,5396.26786947,199At
199Au,82.33,199Au
199Bi,20.5224,199Bi
199Fr,0.0,199Fr
199Pb,20.5224,199Pb
199Po,73.227645,199Po
199Pt,627.49,199Pt
199Rn,12870.260247951248,199Rn
199Tl,0.0624,199Tl
19B,15907.13,19B
19C,5191.53,19C
19N,5191.53,19N
19Ne,962.14,19Ne
19O,1785.28,19O
200At,2686.887147569564,200At
200Au,726.48,200Au
200Bi,126.78,200Bi
200Fr,14179.428187052656,200Fr
200Po,201.81489,200Po
200Pt,949.81,200Pt
200Rn,11409.027477041738,200Rn
200Tl,2.09,200Tl
201At,2748.104574393,201At
201Au,0.0,201Au
201Bi,19.589,201Bi
201Fr,13841.498556800463,201Fr
201Pb,0.179,201Pb
201Po,210.69817630000003,201Po
201Pt,886.67,201Pt
202At,905.1622571856,202At
202Au,1086.19,202Au
202Bi,78.7639,202Bi
202Fr,13932.672136421748,202Fr
202Ir,2538.82,202Ir
202Pb,0.2539,202Pb
202Po,79.42929712,202Po
202Pt,1413.52,202Pt
202Ra,0.0,202Ra
202Rn,6069.801201906872,202Rn
202Tl,0.0,202Tl
203At,562.3601571816,203At
203Au,835.35,203Au
203Bi,1.59,203Bi
203Fr,12170.71786947,203Fr
203Hg,57.87,203Hg
203Po,67.41494664000001,203Po
203Ra,20459.26024795125,203Ra
203Rn,3058.3728991417443,203Rn
204At,332.4499313680994,204At
204Au,850.23,204Au
204Bi,1.31,204Bi
204Fr,7021.179731077407,204Fr
204Po,1.541677977,204Po
204Pt,1623.56,204Pt
204Ra,18895.027477041735,204Ra
204Rn,271.5144414175954,204Rn
204Tl,230.001936,204Tl
205At,163.91525484000002,205At
205Au,1631.81,205Au
205Bi,1.1,205Bi
205Fr,9526.470266179893,205Fr
205Hg,537.02,205Hg
205Po,17.9437276,205Po
205Ra,7340.0,205Ra
205Rn,554.1506935191601,205Rn
206Ac,21722.67213642175,206Ac
206At,299.03929676696004,206At
206Au,1963.25,206Au
206Bi,0.00422,206Bi
206Fr,5552.771496035904,206Fr
206Hg,938.72,206Hg
206Po,15.53343256,206Po
206Ra,13338.801201906874,206Ra
206Rn,2607.919296985845,206Rn
206Tl,538.37,206Tl
207Ac,19863.71786947,207Ac
207At,56.81302453536,207At
207Bi,0.146,207Bi
207Fr,6664.589810731386,207Fr
207Hg,491.59,207Hg
207Po,2.52569424,207Po
207Ra,6629.573266764293,207Ra
207Rn,462.6032281773344,207Rn
207Tl,491.59,207Tl
208Ac,14372.285133766632,208Ac
208At,5113.852307233999,208At
208Bi,0.0,208Bi
208Fr,6036.335201798021,208Fr
208Hg,1776.14,208Hg
208Po,5114.495411999999,208Po
208Ra,6997.287979436617,208Ra
208Rn,4304.35511709466,208Rn
208Tl,559.47,208Tl
209Ac,17103.47026617989,209Ac
209At,4660.553266325601,209At
209Bi,3075.69,209Bi
209Fr,5862.129645729247,209Fr
209Hg,3921.08,209Hg
209Pb,3273.19,209Pb
209Po,4849.6395384,209Po
209Ra,7554.01069351916,209Ra
209Rn,4108.622444742248,209Rn
209Th,15420.0,209Th
209Tl,3921.08,209Tl
20C,11820.759999999998,20C
20F,2481.37,20F
20N,9157.259999999998,20N
20O,3678.78,20O
210Ac,13014.771496035904,210Ac
210At,5295.424458135,210At
210Bi,5693.380710656545,210Bi
210Fr,5284.984087493376,210Fr
210Pb,5699.460728492224,210Pb
210Po,5304.38,210Po
210Ra,9450.198688606146,210Ra
210Rn,5794.076273582999,210Rn
210Th,21237.801201906877,210Th
210Tl,6915.550728492224,210Tl
211Ac,14154.926611554543,211Ac
211At,1025.720168,211At
211Bi,7041.7112824,211Bi
211Fr,4594.994419628289,211Fr
211Pb,7487.9612824,211Pb
211Po,7442.49,211Po
211Ra,6668.400411578901,211Ra
211Rn,435.15466022176,211Rn
211Tl,7900.621282399999,211Tl
212Ac,13040.69802026177,212Ac
212At,7650.13,212At
212Bi,6926.877182000001,212Bi
212Fr,9903.18147695062,212Fr
212Pa,22642.285133766632,212Pa
212Pb,7027.097182000001,212Pb
212Po,8784.86,212Po
212Ra,10128.621571073054,212Ra
212Rn,11378.155412,212Rn
212Th,6997.287979436617,212Th
212Tl,7479.8971820000015,212Tl
213Ac,13222.129645729246,213Ac
213At,12154.69,213At
213Bi,501.486364,213Bi
213Fr,11405.792349449215,213Fr
213Pa,25339.47026617989,213Pa
213Ra,9729.489031401225,213Ra
213Rn,12922.0895384,213Rn
213Th,15244.01069351916,213Th
213Tl,483.81,213Tl
214Ac,42542.5554378691,214Ac
214At,14508.190710656543,214At
214Bi,14024.717731392224,214Bi
214Fr,13715.274458135002,214Fr
214Pa,13014.771496035904,214Pa
214Pb,14249.387731392224,214Pb
214Po,13386.190728492224,214Po
214Ra,12918.230018381584,214Ra
214Rn,5304.38,214Rn
214Th,9450.198688606146,214Th
214Tl,14769.067731392224,214Tl
215Ac,12183.201879844824,215Ac
215At,15067.5012824,215At
215Bi,15518.81226496,215Bi
215Fr,10385.720168,215Fr
215Pa,22242.926611554547,215Pa
215Pb,16129.58226496,215Pb
215Po,14878.63226496,215Po
215Ra,9105.37466022176,215Ra
215Th,14105.7404115789,215Th
216Ac,18959.98147695062,216Ac
216At,14741.967182,216At
216Bi,13805.377182,216Bi
216Fr,16265.86,216Fr
216Pa,19963.489859856538,216Pa
216Po,13805.377182,216Po
216Ra,11378.155412,216Ra
216Th,18049.16756922075,216Th
216U,15369.287979436616,216U
217Ac,21055.792349449213,217Ac
217At,7565.028682854519,217At
217Bi,6277.893934142725,217Bi
217Pa,21552.579645729245,217Pa
217Po,6277.893934142725,217Po
217Rn,7741.0,217Rn
217Th,18953.099031401223,217Th
217U,23262.01069351916,217U
218At,20711.11973789077,218At
218Bi,21597.787183793527,218Bi
218Fr,22351.270710656543,218Fr
218Po,20250.63718379352,218Po
218Rn,20514.420728492223,218Rn
218Th,22584.230018381582,218Th
218U,9450.198688606146,218U
219At,21546.45130496,219At
219Bi,1200.0,219Bi
219Fr,22374.5512824,219Fr
219Pa,22083.20187984482,219Pa
219Ra,7800.18,219Ra
219Rn,21632.43226496,219Rn
21F,2354.19,21F
21Mg,9589.78,21Mg
21N,6623.96,21N
21Na,1100.82,21Na
21O,4737.87,21O
220Ac,24078.67,220Ac
220At,20689.702782,220At
220Fr,21244.536131863,220Fr
220Ra,7448.48,220Ra
220Rn,20092.837182,220Rn
221Ac,7677.9,221Ac
221Fr,13931.48778285452,221Fr
221Ra,14439.1,221Ra
221Rn,12839.151736137926,221Rn
221Th,8243.78,221Th
222Ac,29264.8215108349,222Ac
222Fr,27691.88072849223,222Fr
222Pa,4227.89,222Pa
222Ra,27061.16072849222,222Ra
222Rn,25739.63718379353,222Rn
222Th,15942.47,222Th
223Ac,28685.340369576,223Ac
223Fr,27642.896529502403,223Fr
223Pa,8102.85,223Pa
223Ra,27297.702264960004,223Ra
223Rn,28127.956529502404,223Rn
223Th,15117.25,223Th
224Ac,1983.547577999533,224Ac
224Fr,26682.067182,224Fr
224Pa,31761.98,224Pa
224Ra,25765.987182,224Ra
224Rn,26898.737182,224Rn
224Th,14544.03,224Th
224U,8465.94,224U
225Ac,19707.30778285452,225Ac
225Fr,19807.30596230592,225Fr
225Pa,14907.9,225Pa
225Ra,19807.30596230592,225Ra
225Rn,20537.96596230592,225Rn
225Th,18285.273,225Th
225U,16098.990000000002,225U
226Ac,27912.40413693226,226Ac
226Fr,31704.03718379353,226Fr
226Np,12257.89,226Np
226Pa,34041.815107425806,226Pa
226Ra,30513.01718379353,226Ra
226Rn,32184.367183793533,226Rn
226Th,33367.400728492226,226Th
226U,23481.62,226U
227Ac,33132.79469981069,227Ac
227Fr,34243.964699810684,227Fr
227Np,8102.85,227Np
227Pa,28974.7238141396,227Pa
227Ra,33538.124699810694,227Ra
227Rn,34243.96469981069,227Rn
227Th,33198.83226496,227Th
227U,22004.35,227U
228Ac,31520.097182,228Ac
228Fr,32931.077182,228Fr
228Np,12704.792,228Np
228Pa,30631.752639775998,228Pa
228Pu,8465.94,228Pu
228Ra,31527.337182,228Ra
228Rn,33555.747182,228Rn
228Th,31169.467182,228Th
228U,19990.7455,228U
229Ac,25086.78596230592,229Ac
229Fr,47114.85192461183,229Fr
229Np,13324.6952,229Np
229Pa,94.72198935770167,229Pa
229Ra,46238.17192461183,229Ra
229Th,24726.835962305915,229Th
229U,3910.6786,229U
22Al,6342.889999999999,22Al
22C,10534.52,22C
22F,2134.93,22F
22Mg,1564.27,22Mg
22N,10534.52,22N
22Na,195.15,22Na
22O,4019.56,22O
22Si,12325.59,22Si
230Ac,36056.28718379352,230Ac
230Fr,37873.007183793525,230Fr
230Np,39078.96265986022,230Np
230Pa,35495.424222620415,230Pa
230Pu,30527.6,230Pu
230Ra,36228.907183793526,230Ra
230Th,35177.14718379353,230Th
230U,39234.75072849222,230U
231Ac,38635.274699824105,231Ac
231Fr,39908.524699824105,231Fr
231Np,579.4944762827921,231Np
231Pa,38080.14469981069,231Pa
231Pu,2721.980028654513,231Pu
231Ra,38635.274699824105,231Ra
231Th,38158.03469982411,231Th
231U,1.3279621305984002,231U
232Ac,36500.387182,232Ac
232Fr,38955.39718199999,232Fr
232Np,36471.72144550528,232Np
232Pa,36564.947182,232Pa
232Pu,2150.43455,232Pu
232Ra,36859.767182,232Ra
232Th,35524.127182,232Th
232U,36471.457182,232U
233Ac,30920.085962305915,233Ac
233Am,613.2465541322391,233Am
233Cm,490.5972433057912,233Cm
233Fr,253.06,233Fr
233Np,0.0006630539255039,233Np
233Pa,29599.155962305915,233Pa
233Pu,4.6934765782607935,233Pu
233Th,30003.835962305915,233Th
233U,29532.685962305917,233U
234Ac,41598.41718379352,234Ac
234Np,39936.76018379352,234Np
234Pa,40148.94718379353,234Pa
234Pu,2376.440443709533,234Pu
234Th,40196.75718379352,234Th
234U,39936.57718379352,234U
235Am,2.317977905131168,235Am
235Np,0.9900871161950778,235Np
235Pa,43097.9546998241,235Pa
235Pu,0.9901001046954812,235Pu
235Th,43684.2746998241,235Th
235U,42621.97469982411,235U
236Np,5760.7739350612,236Np
236Pa,40724.167182,236Pa
236Pu,42231.907182,236Pu
236Th,41061.35718200001,236Th
236U,39998.457182,236U
237Am,1.2404545334392252,237Am
237Np,34388.05596230592,237Np
237Pa,35020.66596230592,237Pa
237Pu,1.2403869644168484,237Pu
237U,34455.91596230592,237U
238Am,45423.71412055667,238Am
238Bk,100.84417703844606,238Bk
238Cm,100.84417703844606,238Cm
238Np,45633.94718379353,238Np
238Pa,45781.08718379352,238Pa
238Pu,45422.95718379352,238Pu
238Th,46347.75718379352,238Th
238U,44383.88718379352,238U
239Am,0.0001565087116195,239Am
239Cm,9.901001046954812e-06,239Cm
239Np,47918.404699824096,239Np
239Pa,49233.0946998241,239Pa
239Pu,47772.89469982409,239Pu
239U,48313.0946998241,239U
23Al,6057.490000000001,23Al
23F,4868.66,23F
23Mg,1335.39,23Mg
23Ne,1900.34,23Ne
23O,8631.99,23O
23Si,12318.9,23Si
240Am,0.0109454896666162,240Am
240Cf,6459.1702,240Cf
240Cm,48252.75104609,240Cm
240Es,5917.04106,240Es
240Np,45506.957182,240Np
240Pu,45153.677182,240Pu
240U,45613.387182,240U
241Am,39878.08596230592,241Am
241Cf,0.0,241Cf
241Cm,0.6053038696441685,241Cm
241Np,40301.14936005024,241Np
241Pu,39883.369360050245,241Pu
242Am,42744.29486099726,242Am
242Bk,51526.82718379351,242Bk
242Cf,16294.200778389464,242Cf
242Cm,51526.82718379353,242Cm
242Es,0.0,242Es
242Np,50161.09718379352,242Np
242Pu,49272.437183793525,242Pu
242U,50546.59718379352,242U
243Am,53189.6946998241,243Am
243Bk,53368.23570510409,243Bk
243Cf,46035.68450777565,243Cf
243Cm,53448.39355019461,243Cm
243Es,20900.107158032508,243Es
243Fm,2090.010715803251,243Fm
243Np,53350.254699824094,243Np
243Pu,53350.254699824094,243Pu
244Am,51059.677182,244Am
244Bk,2.459672937999698e-05,244Bk
244Cf,53292.93104609,244Cf
244Cm,50950.077182,244Cm
244Es,0.0,244Es
244Np,51104.97531816615,244Np
244Pu,50126.77531816615,244Pu
245Am,45530.30936005025,245Am
245Bk,47.86252315476709,245Bk
245Cf,889.0147222659843,245Cf
245Cm,45269.769360050246,245Cm
245Es,1236.192,245Es
245Fm,0.0,245Fm
245Pu,45773.05936005024,245Pu
246Am,49650.55244146996,246Am
246Bk,49259.55244146996,246Bk
246Cf,58272.42718379351,246Cf
246Cm,49259.55244146996,246Cm
246Es,57640.72897379351,246Es
246Fm,22241.416485458976,246Fm
246Md,0.0,246Md
246Pu,49701.212441469965,246Pu
247Am,58737.87469982409,247Am
247Bk,58755.1946998241,247Bk
247Cf,18.70770774256812,247Cf
247Cm,58298.974699824095,247Cm
247Fm,32667.54848497642,247Fm
247Md,29278.119730874478,247Md
248Cf,57197.63840238172,248Cf
248Cm,50176.487495972,248Cm
248Es,0.0430250614918234,248Es
248Fm,57723.7394937855,248Fm
248Md,333.20000000000005,248Md
249Bk,51121.808283264,249Bk
249Cf,51089.48936005025,249Cf
249Cm,51393.08828326399,249Cm
249Es,50798.77740669893,249Es
249Fm,34328.55572083608,249Fm
249Md,17362.49748833443,249Md
24Al,2026.05,24Al
24F,5861.37,24F
24Na,554.56,24Na
24Ne,1358.04,24Ne
24O,10468.14,24O
24Si,2026.05,24Si
250Bk,49484.58258609004,250Bk
250Cf,49221.62258609004,250Cf
250Cm,9220.916239464592,250Cm
250Es,1477.7865732440987,250Es
250Fm,58462.16146541418,250Fm
250Md,4072.927528165547,250Md
251Bk,64374.34469982409,251Bk
251Cf,64085.34469982409,251Cf
251Cm,64794.94469982409,251Cm
251Es,293.9380734991205,251Es
251Fm,291.2088765155026,251Fm
251Md,337.5879888639523,251Md
251No,36329.16422132854,251No
252Cf,54321.48148404694,252Cf
252Es,4017.4212,252Es
252Fm,64226.98114783847,252Fm
252Lr,28584.74887766516,252Lr
252No,41414.44812944193,252No
253Cf,57761.043856264,253Cf
253Es,57708.78828326399,253Es
253Fm,6229.208323206029,253Fm
253Lr,21039.08692098608,253Lr
253Md,6541.195306790479,253Md
253No,25867.123034515556,253No
254Cf,28.640826342340244,254Cf
254Es,55884.98067117996,254Es
254Fm,56370.741339599066,254Fm
254Lr,22410.421852935688,254Lr
254Md,56370.74133959906,254Md
254No,52615.94531887275,254No
255Cf,70782.0574998241,255Cf
255Es,70673.05749982409,255Es
255Fm,71139.56469982408,255Fm
255Lr,8443.690694897361,255Lr
255Md,61.637665144938445,255Md
255No,848.6520285561076,255No
255Rf,16880.38987990696,255Rf
256Db,24049.766214365605,256Db
256Es,4445.378130207802,256Es
256Fm,4445.378130207803,256Fm
256Lr,6102.116,256Lr
256Md,431.20503040000006,256Md
256No,72241.86915475494,256No
256Rf,132.5262340142142,256Rf
257Db,19776.741705726912,257Db
257Fm,64181.91819016585,257Fm
257Lr,15400.39530679048,257Lr
257Md,8815.5057424896,257Md
257No,11365.994574725124,257No
257Rf,20512.628566370837,257Rf
258Db,21668.460630504174,258Db
258Lr,63082.68918476949,258Lr
258Md,62633.07067117996,258Md
258Rf,2578.181320624765,258Rf
259Lr,2615.221178813052,259Lr
259No,57576.236024868085,259No
259Rf,8237.543866271619,259Rf
259Sg,19586.75389191626,259Sg
25Al,1452.54,25Al
25F,9868.990000000002,25F
25Na,1505.98,25Na
25Ne,4704.530000000001,25Ne
25Si,5818.97,25Si
260Bh,34209.766214365605,260Bh
260Db,13302.410624,260Db
260Lr,5487.364024320001,260Lr
260Sg,1479.273117007107,260Sg
261Bh,28049.749120440563,261Bh
261Db,18119.175351568192,261Db
261Rf,18817.99457472513,261Rf
261Sg,20512.628566370837,261Sg
262Bh,21668.460630504174,262Bh
262Db,45007.36335379556,262Db
263Db,2669.3846068896123,263Db
263Sg,7672.870706390135,263Sg
264Bh,13302.410624,264Bh
264Hs,739.6365585035537,264Hs
265Hs,29783.528566370835,265Hs
265Sg,11526.99728736256,265Sg
266Bh,45007.36335379556,266Bh
266Hs,0.0,266Hs
266Mt,16251.345472878134,266Mt
266Sg,0.0,266Sg
267Hs,6138.296565112107,267Hs
268Mt,13302.410624,268Mt
269Hs,20689.18728736256,269Hs
269Sg,0.0,269Sg
26Al,444.03,26Al
26F,20746.62,26F
26Na,3356.1,26Na
26Ne,6704.219999999999,26Ne
26P,7889.4,26P
26Si,2065.54,26Si
270Ds,0.0,270Ds
270Hs,0.0,270Hs
270Mt,45007.36335379556,270Mt
271Ds,16860.056565112107,271Ds
271Sg,0.0,271Sg
272Bh,9035.0,272Bh
272Rg,13302.410624,272Rg
273Ds,20689.187287362565,273Ds
273Hs,0.0,273Hs
274Bh,0.0,274Bh
274Mt,0.0,274Mt
274Rg,45007.36335379556,274Rg
275Hs,0.0,275Hs
276Mt,18654.61,276Mt
277Cn,20689.187287362565,277Cn
277Ds,0.0,277Ds
278Mt,0.0,278Mt
278Nh,45007.36335379556,278Nh
278Rg,0.0,278Rg
279Ds,0.0,279Ds
279Rg,0.0,279Rg
27F,18265.35,27F
27Mg,702.03,27Mg
27Na,4399.47,27Na
27Ne,11786.240000000002,27Ne
27P,859.06,27P
27S,859.06,27S
27Si,859.06,27Si
280Rg,28383.61,280Rg
281Cn,0.0,281Cn
281Ds,0.0,281Ds
282Nh,0.0,282Nh
282Rg,0.0,282Rg
283Cn,0.0,283Cn
284Nh,28383.61,284Nh
285Cn,0.0,285Cn
285Nh,0.0,285Nh
286Fl,0.0,286Fl
286Nh,0.0,286Nh
287Fl,0.0,287Fl
288Fl,0.0,288Fl
288Mc,38683.61,288Mc
289Fl,0.0,289Fl
289Mc,0.0,289Mc
28Al,1241.68,28Al
28Mg,1393.71,28Mg
28Na,7422.59,28Na
28Ne,12797.33,28Ne
28P,4593.15,28P
28S,6559.73,28S
290Lv,0.0,290Lv
290Mc,0.0,290Mc
292Lv,0.0,292Lv
293Lv,0.0,293Lv
293Ts,0.0,293Ts
294Og,0.0,294Og
294Ts,0.0,294Ts
29Al,976.73,29Al
29F,22328.14,29F
29Mg,3610.41,29Mg
29Na,7716.96,29Na
29Ne,14884.72,29Ne
29P,1770.12,29P
29S,5819.56,29S
30Al,2305.32,30Al
30Mg,4427.09,30Mg
30Na,8638.470000000001,30Na
30Ne,14402.41,30Ne
30P,1438.5,30P
30S,3519.13,30S
31Al,3260.31,31Al
31Cl,5706.88,31Cl
31Mg,7383.219999999999,31Mg
31Na,11681.6,31Na
31Ne,18545.4,31Ne
