,Expected Energy of Entire Decay (keV/atom of parent isotope),Isotope
117Pd,4393.66,117Pd
117Rh,6621.81,117Rh
117Ru,9318.81,117Ru
117Sb,4.8205800000000005,117Sb
117Tc,12491.81,117Tc
117Te,269.96558,117Te
117Xe,1433.08558,117Xe
118Ag,4619.0,118Ag
118Cd,2040.0,118Cd
118Cs,2106.19,118Cs
118I,2106.19,118I
118In,1879.0,118In
118Mo,18788.71,118Mo
118Pd,6072.62,118Pd
118Rh,9166.62,118Rh
118Ru,11260.62,118Ru
118Sb,871.73,118Sb
118Tc,15137.62,118Tc
118Xe,2106.19,118Xe
119Ag,3238.18,119Ag
119Cd,1425.08,119Cd
119Cs,2813.7467272000004,119Cs
119I,851.0967272,119I
119In,613.07,119In
119Pd,3238.18,119Pd
119Rh,5714.18,119Rh
119Ru,8634.18,119Ru
119Tc,11898.18,119Tc
119Te,5.929727199999999,119Te
119Xe,851.0967272,119Xe
11Be,4652.45,11Be
11C,384.8,11C
11Li,11391.36,11Li
120Ag,5204.0,120Ag
120Ba,1667.66,120Ba
120Cd,2917.0,120Cd
120I,1163.32,120I
120In,2240.0,120In
120Pd,6547.0,120Pd
120Rh,9808.0,120Rh
120Ru,12169.0,120Ru
120Sb,304.09,120Sb
120Tc,15586.01,120Tc
120Xe,1176.6899999999998,120Xe
121Ag,3956.51,121Ag
121Ba,2302.77,121Ba
121Cd,2301.5,121Cd
121Ce,2302.77,121Ce
121Cs,2302.77,121Cs
121I,49.91,121I
121In,1099.82,121In
121La,2302.77,121La
121Pd,6291.51,121Pd
121Rh,8962.51,121Rh
121Ru,11913.51,121Ru
121Sn,115.82,121Sn
121Tc,15477.63,121Tc
121Te,0.0,121Te
121Xe,584.9,121Xe
122Ag,6362.06038,122Ag
122Ba,2594.69,122Ba
122Cd,3326.81,122Cd
122Cs,2594.69,122Cs
122I,1105.48,122I
122In,2530.0,122In
122La,2594.69,122La
122Pd,8012.06038,122Pd
122Ru,3224.62,122Ru
122Sb,548.4464699800001,122Sb
123Ag,6272.709999999999,123Ag
123Ba,1096.45,123Ba
123Cd,3656.74,123Cd
123Ce,1096.45,123Ce
123Cs,1096.45,123Cs
123I,0.0,123I
123In,1882.87,123In
123La,1096.45,123La
123Pd,8767.71,123Pd
123Rh,11670.71,123Rh
123Ru,15062.99,123Ru
123Sn,523.17,123Sn
123Xe,150.27,123Xe
124Ag,6558.639999999999,124Ag
124Ba,1982.38,124Ba
124Cd,3145.31,124Cd
124Ce,1982.38,124Ce
124Cs,1902.65,124Cs
124I,187.25,124I
124In,2048.52,124In
124La,1982.38,124La
124Pd,8539.64,124Pd
